종목명,BPS,EPS,SPS,ROE,영업이익률,순이익률,매출액증가율,유동자산증가율,총자산증가율,부채비율,비유동부채비율,유동부채비율
메카로,212029.72207705924,-1598.9868296509671,16856.492396945767,9.51731854087405,36.790914939695476,-3427.6896358559948,-156.617172470884,-148.30560268446112,19.786269172852208,295.78013301970793,54.91652774568102,240.8636052740268
오션브릿지,122608.80218006152,3935.046247430448,24037.919030251134,79.61000692780068,451.1847897483068,383.7401714315234,927.786614028208,330.68439735014397,349.1556085207056,1017.8131181710144,57.8153365676511,959.9977816033631
피씨엘,28102.015379041197,1440.0466445474913,8712.9133362151,-491.31125208216923,-274488.4771960277,-308838.2811901507,2864670.1237476,1632.290082431843,1424.210743728067,7610.847682695555,868.0729049229545,6742.774777772601
에이스토리,64149.252411634705,277.6651038934501,12753.928073949219,-15.1141561855994,-188.77810621203554,-3075.3265811224437,8430.653813534953,339.87550079755374,293.74367547330064,929.7446847180078,140.08058158532518,789.6641031326828
나무기술,15435.443914725573,-280.82662855395137,5055.907967708767,-36.965012875114226,-1.7598802293789877,-34.29057070116902,243.77893165724612,-247.04890293309265,-31.412455204595933,2394.9351605889187,651.3682950716567,1743.5668655172615
휴온스,299169.3132524742,7597.359454880461,71688.86629037994,104.27336933710028,345.4429862997101,297.2617380788252,375.50661030804906,87.21177442277738,121.79353867854674,1804.2839619303475,329.9276654796869,1474.356296450661
신흥에스이씨,355185.4467252592,11772.745044946505,111662.22333042457,74.61849282664744,189.15347069959822,145.4154662588691,711.9730837068405,201.11256291545283,305.25574969783906,3859.435804306359,1442.4470385985599,2416.988765707799
올리패스,8822.567250285372,-2331.230081131611,302.78128720876333,-2477.1204987264978,-27107.08386090176,-28223.856094411854,2565.2248146641987,-420.66615956194426,-289.6189992277361,14448.257152674727,6022.445888129173,8425.81126454556
에이플러스에셋,69907.6181374411,4086.6049759477896,24958.291683145202,61.05130258278503,29.667281760434097,140.2466467236122,65.29728693368273,69.03548264949741,105.75980782713748,1380.998907809744,729.8210006012457,651.1779072084983
EDGC,12252.375054386057,-130.16572714604985,3254.9656308842036,-106.14729106885252,-406.7847754934836,-551.3330982096198,2761.203099244297,588.2208835062817,838.4307143364504,4189.430433727748,1345.7220961057203,2843.708337622027
TS인베스트먼트,0.0,0.0,0.0,0.1080607418962042,0.0,2.756891295152472,-165.5787851975397,0.0,1.169898818903725,24.85878728537754,0.0,0.0
티앤알바이오팹,38777.818178184854,-1899.4770013552363,1296.6053209890647,-108.85223747578135,-6060.732560875778,-6080.119668507499,2532.843837061443,-175.99629476595695,16.62473934776524,1237.157074388464,864.0296466537475,373.1274277347165
아스타,9547.217417601158,-674.2306029117784,298.1755849182716,-194.50901861554064,-21729.17572778203,-27815.168253367145,4366.6327516678475,479.84949025053686,399.94501263347377,1154.48418732743,616.7558703211457,537.7283170062842
이노테라피,31126.768112460115,-2359.705259831848,242.6832506182407,-121.95398810705991,-15434.62246009338,-17563.405888594047,586.5400260470062,643.5951843311628,456.8011978016612,1826.2794526805822,1620.6436280575529,205.6358246230291
에코프로비엠,274931.8263985962,8306.10469843945,137797.18518654146,53.07424985336358,123.48648782195421,101.34595047332198,1772.8260378675857,1039.511791465175,685.178660416524,2078.7861268082406,585.7131252079263,1493.0730016003142
