종목명,variable,value
HDC현대산업개발,유사종목_1,미원에스씨
HDC현대산업개발,유사종목_2,화성산업
HDC현대산업개발,유사종목_3,화천기계
HDC현대산업개발,유사종목_4,미원화학
HDC현대산업개발,유사종목_5,피에이치에이
HD현대,유사종목_1,JW생명과학
HD현대,유사종목_2,CJ제일제당
HD현대,유사종목_3,두산
HD현대,유사종목_4,삼천리
HD현대,유사종목_5,오뚜기
HJ중공업,유사종목_1,심텍
HJ중공업,유사종목_2,NHN한국사이버결제
HJ중공업,유사종목_3,AJ네트웍스
HJ중공업,유사종목_4,센트랄모텍
HJ중공업,유사종목_5,TCC스틸
HK이노엔,유사종목_1,빛샘전자
HK이노엔,유사종목_2,디엔에프
HK이노엔,유사종목_3,쌍용C&E
HK이노엔,유사종목_4,셀트리온제약
HK이노엔,유사종목_5,삼천당제약
HL D&I,유사종목_1,평화홀딩스
HL D&I,유사종목_2,한성기업
HL D&I,유사종목_3,팜스코
HL D&I,유사종목_4,선진
HL D&I,유사종목_5,엠에스오토텍
HLB,유사종목_1,한국경제TV
HLB,유사종목_2,디지아이
HLB,유사종목_3,HLB글로벌
HLB,유사종목_4,LX홀딩스
HLB,유사종목_5,GKL
HLB글로벌,유사종목_1,GKL
HLB글로벌,유사종목_2,브이원텍
HLB글로벌,유사종목_3,미래산업
HLB글로벌,유사종목_4,윈스
HLB글로벌,유사종목_5,쎄트렉아이
HLB생명과학,유사종목_1,팬엔터테인먼트
HLB생명과학,유사종목_2,KH 필룩스
HLB생명과학,유사종목_3,웨이브일렉트로
HLB생명과학,유사종목_4,에스엔유
HLB생명과학,유사종목_5,동양
HLB제약,유사종목_1,대한광통신
HLB제약,유사종목_2,코디
HLB제약,유사종목_3,코렌텍
HLB제약,유사종목_4,에프엔씨엔터
HLB제약,유사종목_5,한솔홈데코
HLB테라퓨틱스,유사종목_1,스카이문스테크놀로지
HLB테라퓨틱스,유사종목_2,바른손
HLB테라퓨틱스,유사종목_3,메지온
HLB테라퓨틱스,유사종목_4,케이피에스
HLB테라퓨틱스,유사종목_5,자이글
HL만도,유사종목_1,GS리테일
HL만도,유사종목_2,대상홀딩스
HL만도,유사종목_3,하림지주
HL만도,유사종목_4,대동금속
HL만도,유사종목_5,대상
HL홀딩스,유사종목_1,유니드
HL홀딩스,유사종목_2,강남제비스코
HL홀딩스,유사종목_3,샘표
HL홀딩스,유사종목_4,유한양행
